step,t,mass,px,py,pz,energy
1.000000000000000000e+00,9.999999999999999547e-07,2.599284171223117390e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194909817e-01
1.000000000000000000e+01,9.999999999999999124e-06,2.599284171223117945e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194912037e-01
1.000000000000000000e+02,9.999999999999999124e-05,2.599284171223116280e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194908706e-01
1.000000000000000000e+03,1.000000000000000021e-03,2.599284171223114615e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194903155e-01
2.000000000000000000e+03,2.000000000000000042e-03,2.599284171223115170e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194905376e-01
3.000000000000000000e+03,3.000000000000000062e-03,2.599284171223119055e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194906486e-01
4.000000000000000000e+03,4.000000000000000083e-03,2.599284171223122941e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194916478e-01
5.000000000000000000e+03,5.000000000000000104e-03,2.599284171223121831e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194905376e-01
6.000000000000000000e+03,6.000000000000000125e-03,2.599284171223122941e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194909817e-01
7.000000000000000000e+03,6.999999999999999278e-03,2.599284171223124607e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194909817e-01
8.000000000000000000e+03,8.000000000000000167e-03,2.599284171223121831e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194912037e-01
9.000000000000000000e+03,8.999999999999999320e-03,2.599284171223126272e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194916478e-01
1.000000000000000000e+04,1.000000000000000021e-02,2.599284171223119055e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194905376e-01
2.000000000000000000e+04,2.000000000000000042e-02,2.599284171223105178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194889833e-01
3.000000000000000000e+04,2.999999999999999889e-02,2.599284171223111284e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194916478e-01
4.000000000000000000e+04,4.000000000000000083e-02,2.599284171223113504e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194934242e-01
5.000000000000000000e+04,4.999999999999999584e-02,2.599284171223119611e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194945344e-01
6.000000000000000000e+04,5.999999999999999778e-02,2.599284171223103512e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194903155e-01
7.000000000000000000e+04,6.999999999999999278e-02,2.599284171223110174e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194920919e-01
8.000000000000000000e+04,8.000000000000000167e-02,2.599284171223095186e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194900935e-01
9.000000000000000000e+04,8.999999999999999667e-02,2.599284171223105178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194900935e-01
1.000000000000000000e+05,9.999999999999999167e-02,2.599284171223100737e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190194900935e-01
1.000000000000000000e+06,1.000000000000000000e+00,2.599284171219988782e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.302948190191006272e-01
